sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"时钟","50","<<HKDevice: 0x1c4a98bf0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-13 08:00:06 +0800,2017-12-13 01:10:16 +0800,2017-12-13 08:00:06 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98d80>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-14 08:50:14 +0800,2017-12-14 01:52:24 +0800,2017-12-14 01:53:24 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98c90>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-14 08:50:14 +0800,2017-12-14 02:01:28 +0800,2017-12-14 08:50:14 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98e20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-15 08:00:13 +0800,2017-12-15 01:39:16 +0800,2017-12-15 08:00:13 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98d30>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-16 08:45:43 +0800,2017-12-16 01:50:24 +0800,2017-12-16 08:45:43 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98ec0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-17 08:25:15 +0800,2017-12-17 01:40:28 +0800,2017-12-17 08:25:10 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98dd0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-18 08:00:24 +0800,2017-12-18 01:19:52 +0800,2017-12-18 08:00:24 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98f60>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-20 07:55:11 +0800,2017-12-20 01:48:44 +0800,2017-12-20 07:55:11 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98e70>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-21 08:34:44 +0800,2017-12-21 00:55:00 +0800,2017-12-21 08:25:52 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-21 08:34:44 +0800,2017-12-21 08:26:24 +0800,2017-12-21 08:30:28 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98f10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-21 08:34:44 +0800,2017-12-21 08:34:28 +0800,2017-12-21 08:34:44 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a990a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-22 08:00:24 +0800,2017-12-22 01:19:12 +0800,2017-12-22 08:00:24 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a98fb0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-23 08:18:37 +0800,2017-12-23 02:12:16 +0800,2017-12-23 08:18:32 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99140>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-24 08:50:29 +0800,2017-12-24 01:16:08 +0800,2017-12-24 08:20:28 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99050>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-24 08:50:29 +0800,2017-12-24 08:25:44 +0800,2017-12-24 08:50:29 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a991e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-25 08:00:21 +0800,2017-12-25 01:32:24 +0800,2017-12-25 08:00:21 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a990f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-26 08:00:23 +0800,2017-12-26 00:32:32 +0800,2017-12-26 08:00:23 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99280>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-28 08:09:25 +0800,2017-12-28 01:35:04 +0800,2017-12-28 08:09:19 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99190>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-29 08:00:28 +0800,2017-12-29 01:33:52 +0800,2017-12-29 08:00:23 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99320>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-30 08:30:46 +0800,2017-12-30 01:38:12 +0800,2017-12-30 08:30:44 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99230>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2017-12-31 08:30:14 +0800,2017-12-31 01:52:12 +0800,2017-12-31 08:30:09 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a993c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2018-01-02 07:45:05 +0800,2018-01-02 01:26:00 +0800,2018-01-02 07:45:05 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a992d0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2018-01-03 07:45:29 +0800,2018-01-03 01:25:24 +0800,2018-01-03 07:45:29 +0800,HKCategoryValueSleepAnalysisInBed
"时钟","50","<<HKDevice: 0x1c4a99460>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:11.0>","SleepAnalysis",,2018-01-04 07:45:43 +0800,2018-01-04 00:34:28 +0800,2018-01-04 07:45:40 +0800,HKCategoryValueSleepAnalysisInBed
